year,mo,data-type,region,extent,area
2019,4,NRTSI-G,S,5.71,4.16
2019,4,NRTSI-G,N,13.45,11.86
2019,3,NRTSI-G,S,3.16,2.09
2019,3,NRTSI-G,N,14.55,12.81
2019,2,NRTSI-G,S,2.66,1.80
2019,2,NRTSI-G,N,14.40,12.69
2019,1,NRTSI-G,S,3.83,2.62
2019,1,NRTSI-G,N,13.56,12.10
2018,12,NRTSI-G,S,9.03,5.48
2018,12,NRTSI-G,N,11.86,10.41
2018,11,NRTSI-G,S,15.01,10.67
2018,11,NRTSI-G,N,9.80,8.36
2018,10,NRTSI-G,S,17.66,13.92
2018,10,NRTSI-G,N,6.06,4.52
2018,9,NRTSI-G,S,17.88,14.10
2018,9,NRTSI-G,N,4.71,3.30
2018,8,NRTSI-G,S,17.34,13.94
2018,8,NRTSI-G,N,5.61,3.89
2018,7,NRTSI-G,S,15.66,12.48
2018,7,NRTSI-G,N,8.22,5.71
2018,6,NRTSI-G,S,12.85,10.21
2018,6,NRTSI-G,N,10.71,8.71
2018,5,NRTSI-G,S,9.29,7.13
2018,5,NRTSI-G,N,12.21,10.77
2018,4,NRTSI-G,S,6.01,4.11
2018,4,NRTSI-G,N,13.71,12.25
2018,3,NRTSI-G,S,3.53,2.29
2018,3,NRTSI-G,N,14.30,12.61
2018,2,NRTSI-G,S,2.29,1.61
2018,2,NRTSI-G,N,13.95,12.22
2018,1,NRTSI-G,S,4.13,2.64
2018,1,NRTSI-G,N,13.06,11.64
2017,12,Goddard,S,9.48,6.23
2017,12,Goddard,N,11.74,10.26
2017,11,Goddard,S,15.11,10.91
2017,11,Goddard,N,9.49,8.08
2017,10,Goddard,S,17.78,13.45
2017,10,Goddard,N,6.77,5.30
2017,9,Goddard,S,17.91,13.92
2017,9,Goddard,N,4.82,3.35
2017,8,Goddard,S,17.22,13.62
2017,8,Goddard,N,5.48,3.64
2017,7,Goddard,S,15.30,12.28
2017,7,Goddard,N,7.94,5.65
2017,6,Goddard,S,12.41,9.80
2017,6,Goddard,N,10.76,8.63
2017,5,Goddard,S,9.01,6.83
2017,5,Goddard,N,12.63,11.01
2017,4,Goddard,S,5.44,3.93
2017,4,Goddard,N,13.75,12.26
2017,3,Goddard,S,2.70,1.83
2017,3,Goddard,N,14.29,12.61
2017,2,Goddard,S,2.29,1.64
2017,2,Goddard,N,14.12,12.32
2017,1,Goddard,S,3.78,2.56
2017,1,Goddard,N,13.19,11.37
2016,12,Goddard,S,8.28,5.51
2016,12,Goddard,N,11.46,9.62
2016,11,Goddard,S,14.22,9.84
2016,11,Goddard,N,8.66,7.01
2016,10,Goddard,S,17.46,12.94
2016,10,Goddard,N,6.08,4.40
2016,9,Goddard,S,18.15,13.86
2016,9,Goddard,N,4.53,2.91
2016,8,Goddard,S,17.89,13.98
2016,8,Goddard,N,5.37,3.31
2016,7,Goddard,S,16.02,12.55
2016,7,Goddard,N,7.94,5.37
2016,6,Goddard,S,13.24,10.61
2016,6,Goddard,N,10.41,8.21
2016,5,Goddard,S,10.10,7.91
